,Name,category,country,num_episodes,aired,watchers,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url,sid,num_reviews
0,tunnel,Drama,South Korea,16.0,2017,32651,8.7,14787,"Choi Jin Hyuk,Yoon Hyun Min,Lee Yoo Young,Jo Hee Bong,Kim Byung Chul,Kang Ki Young","Thriller,Mystery,Sci-Fi,Fantasy "," Time Travel,Murder,Criminal Profiler,Serial Killer,Bromance,Hardworking Male Lead,Hidden Identity,Strong Female Lead,Character Development,Slight Romance  ","In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when hes pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.",https://i.mydramalist.com/JkryYc.jpg?v=1,15673.0,4130.0
1,twenty-five twenty-one,Drama,South Korea,16.0,2022,16043,8.8,2119,"Kim Tae Ri,Nam Joo Hyuk,Bona,Choi Hyun Wook,Lee Joo Myung,Seo Jae Hee","Romance,Life,Youth,Drama "," Athlete,Fencing,1990s,Coming Of Age,Bold Female Lead,IMF Crisis,Nice Male Lead,Friends To Lovers,Bankruptcy,High School To Working Life  ","The story is set in 1998 and tells the stories of youth who find new direction and growth after having their dreams taken away. Two people first meet when they are 22 and 18 years old and fall in love years later when they turn 25 and 21.

Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team.
The South Korean financial crisis also causes Baek Yi Jins father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.",https://i.mydramalist.com/ROOPo_4c.jpg?v=1,40541.0,3731.0
2,dr. romantic season 2,Drama,South Korea,16.0,2020,31855,8.7,15880,"Han Seok Kyu,Ahn Hyo Seop,Lee Sung Kyung,Kim Joo Heon,Shin Dong Wook,So Ju Yeon","Romance,Drama,Medical,Melodrama "," Hospital,Smart Male Lead,Character Development,Bickering Couple,Love/Hate Relationship,Smart Female Lead,Hardworking Female Lead,Healing,Nervous Female Lead,Slow Burn Romance  ","A real doctor story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover real romance.

Kim Sa Bu once gained fame as a top surgeon at a huge hospital. One day, he disappeared from the eyes of the public, quietly becoming the chief surgeon at Doldam Hospital in the countryside. After he conducted a successful operation on Chairman Shin, he gets to improve the hospital under reliable support. But then Chairman Shin passes away, and an old foe returns. New people appear and his students had to leave the hospital. Furthermore, his wrist, which was injured three years ago, starts to act weird. Kim Sa Bu decides to go to a huge hospital himself to solve the manpower shortage at Doldam, where he finds two people who resemble his former students but who seem much more lacking. Seo Woo Jin would do anything for money, and Cha Eun Jae gets nauseous every time she tries to perform surgery. Will Kim Sa Bu be able to run Doldam Hospital with these two?",https://i.mydramalist.com/Rr7DEc.jpg?v=1,26981.0,4129.0
3,move to heaven,Drama,South Korea,10.0,2021,40962,9.2,20399,"Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,Jung Suk Yong,Jung Young Joo,Lee Moon Shik","Life,Drama,Family "," Autism,Uncle-Nephew Relationship,Death,Savant Syndrome,Mourning,Tearjerker,Father-Son Relationship,Life Lesson,Ex-convict,Cleaning And Organizing  ","Geu Roo is a young autistic man. He works for his fathers business Move To Heaven. Their job is to arrange items left by deceased people. One day, Geu Roo's own father dies. Geu Roo is left alone, but his uncle Sang Koo suddenly appears in front of him. Sang Koo is a cold man. He was a martial artist who fought in underground matches. He went to prison because of what happened at his fight. Sang Koo now becomes Geu Roos guardian. They run Move To Heaven together.",https://i.mydramalist.com/Rle36_4c.jpg?v=1,29419.0,3911.0
4,the king’s avatar,Drama,China,40.0,2019,24236,8.6,8734,"Yang Yang,Jiang Shu Ying,Lai Yu Meng,Daisy Li,Leon Lai,Fan Jin Wei","Action,Friendship,Youth,Sports "," Online Gaming,Strong Friendship,Smart Male Lead,Game,Competition,Gamer,Sismance,Hardworking Female Lead,Tournament,Bromance  ","In the multiplayer online game Glory, Ye Xiu is well known as the textbook level expert and top-tier player Ye Qiu. Due to a series of circumstances he was forcefully expelled out of his professional team. After leaving the pro-gaming scene he resides at an Internet Café employed as one of the managers. When Glory launches their tenth server he throws himself into the game once more. Equipped with ten years of gaming experience, memories of the past, and an incomplete self-made weapon. His journey back to the top begins.",https://i.mydramalist.com/2O0xEc.jpg?v=1,17517.0,2029.0
5,unnatural,Drama,Japan,10.0,2018,6699,8.6,2549,"Ishihara Satomi,Iura Arata,Kubota Masataka,Ichikawa Mikako,Matsushige Yutaka,Yakushimaru Hiroko","Mystery,Medical "," Forensic,Smart Female Lead,Death,Strong Female Lead,Murder,Hardworking Female Lead,Police Procedural,Poison,Teamwork,Accident  ","Unnatural is a case-of-the-week medical mystery show; its main theme is the change of reality brought upon by imminent death of a loved one. Mystery and exhilarating human drama unfold against the backdrop of the unnatural death institute, or UDI. For example, the body of a young man is brought into the UDI lab one day; cause of his death is attributed to ischemic heart disease. But the victims parents are puzzled by the freak nature of their sons death and turn to medical coroner Mikoto, to find the real reason. Together with her lab technician partner, Yuko Shoji, and rookie medical recorder, Rokuro, they examine the body for a possible drug poisoning and then learn that female colleague of the deceased man has just died suddenly.",https://i.mydramalist.com/jYgxb_4c.jpg?v=1,18563.0,752.0
6,rebel: thief who stole the people,Drama,South Korea,30.0,2017,14364,8.5,4600,"Yoon Kyun Sang,Chae Soo Bin,Kim Ji Suk,Lee Ha Nee,Kim Sang Joong,Shim Hee Sub","Action,Thriller,Historical,Romance "," Rebellion,Joseon Dynasty,Strong Male Lead,Smart Male Lead,Corruption,Slave,Discrimination,Bromance,Superhuman Strength,Revenge  ","The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty. There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.",https://i.mydramalist.com/Red2Vc.jpg?v=1,15203.0,1925.0
7,you are my hero,Drama,China,40.0,2021,17259,8.7,8207,"Ma Si Chun,Bai Jing Ting,Chen Hao,Jiang Pei Yao,Wang Yang,Zhang Yao","Military,Romance,Drama,Medical "," Adapted From A Novel,Male Chases Female First,Nice Male Lead,Military Police,Multiple Couples,Nice Female Lead,Love At First Sight,Earthquake,First Love,Healthy Mains Relationship  ","Freshly graduated doctor Mi Ka was at a jewellery store to purchase a gift for her parents when a jewel heist by armed robbers occurred. A special SWAT team was deployed to take control of the situation and this was how Mi Ka met Special Forces Captain Xing Ke Lei when he helped diffuse an explosive situation. However, because Xing Ke Lei was in full combat uniform and had his face masked, she did not know what he looked like. 

A few years later, when finalising her qualifications to be a full medical surgeon, Mi Ka decides to participate in a joint emergency rescue training exercise between her hospital & the police SWAT team and she unknowingly meets Captain Xing Ke Lei again. A relationship between them begins and eventually develops as they grow to learn more about each other and as they encounter various military and medical situations in future.",https://i.mydramalist.com/RpDez_4c.jpg?v=1,29595.0,2773.0
8,love and redemption,Drama,China,59.0,2020,15966,8.8,7207,"Cheng Yi,Crystal Yuan,Liu Xue Yi,Zhang Yu Xi,Bai Shu,Hou Meng Yao","Historical,Romance,Wuxia,Fantasy "," Reincarnation,Deity,Female Warrior,Hidden Identity,Xianxia,Steamy Kiss,First Love,Nice Male Lead,Fated Love,Adapted From A Novel  ","A thousand years since the battle between the demons and heavens took place, the souls of the Star of Mosha and the God of War are sent to the mortal realm to serve penance. 

In the mortal realm, Chu Xuan Ji, daughter of the Shaoyang Sect Leader, is deprived of her six senses. At a tournament, she meets Yu Si Feng, a skilled disciple of Lize Palace who was born on the same day as her, and the two develop a friendship. Promising to meet again, Si Feng returns to his sect where he is punished for breaking the rules and forced to wear a mask that could potentially harm his life, while Xuan Ji leaves her home to train in martial arts.

Four years later, their destinies intertwine anew. While traveling together, recovered memories from their past lives surface, revealing secrets and conspiracies involving themselves and the three realms; demon, heavenly, and mortal. These revelations have a profound impact on their relationship, creating an imbalance in all three realms.",https://i.mydramalist.com/BoB65_4c.jpg?v=1,27491.0,1914.0
9,hospital playlist,Drama,South Korea,12.0,2020,63124,9.1,28729,"Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,Shin Hyun Bin","Friendship,Romance,Life,Medical "," Strong Friendship,Multiple Mains,Best Friends,Hospital,Slow Romance,Multiple Couples,Strong Female Lead,Slight Romance,Nice Male Lead,Bromance  ","The stories of people going through their days that are seemingly ordinary but actually special, at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets their ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.",https://i.mydramalist.com/RXXL6_4c.jpg?v=1,26436.0,4964.0
10,happiness,Drama,South Korea,12.0,2021,32668,8.9,16471,"Han Hyo Joo,Park Hyung Sik,Jo  Woo Jin,Lee Joon Hyuk,Park Joo Hee,Baek Hyun Jin","Action,Thriller,Drama,Fantasy "," Disease,Strong Female Lead,Virus,Survival,Fake Marriage,Smart Male Lead,Discrimination,Slow Burn Romance,Infectious Disease,Illness  ","Yoon Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending to marry high school friend Jung Yi Hyun. Yi Hyun is a detective investigating the spread of a mysterious disease. They are trapped in their apartment building when Han Tae Seok, head of the task force to control the spread of the disease, orders the complex to be sealed off from the rest of the city.  

Quarantine and disease reveal a social caste system, bringing out the best and worst of the apartment residents.",https://i.mydramalist.com/BWXjV_4c.jpg?v=1,40000.0,4308.0
11,the bad kids,Drama,China,12.0,2020,4632,8.6,1381,"Qin Hao,Rong Zi Shan,Shi Peng Yuan,Wang Sheng Di,Wang Jing Chun,Zhang Song Wen","Adventure,Thriller,Mystery "," Adapted From A Novel,Web Series,Investigation,Suspense,Death,Murder,Student,Child Female Lead,Symbolism,Juvenile Delinquency  ","A story that follows three children from a coastal town who unintentionally film a murder scene. As the kids become involved with the suspect, it opens up a case that is far more complicated than it looks and entraps several families into an unpredictable outcome.",https://i.mydramalist.com/WADx5_4c.jpg?v=1,30080.0,473.0
12,"kill me, heal me",Drama,South Korea,20.0,2015,87612,8.7,40916,"Ji Sung,Hwang Jung Eum,Park Seo Joon,Kim Yoo Ri,Oh Min Suk,Kim Young Ae","Psychological,Comedy,Romance,Drama "," Dissociative Identity Disorder,Trauma,Boss-Employee Relationship,Rich Male Lead,Mental Health,PTSD,Psychiatry,Nice Male Lead,Mean Male Lead,Rich Man/Poor Woman  ","A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jins twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family.",https://i.mydramalist.com/p2j0nc.jpg?v=1,9828.0,7691.0
13,hanzawa naoki,Drama,Japan,10.0,2013,6691,8.6,2323,"Sakai Masato,Ueto Aya,Oikawa Mitsuhiro,Takito Kenichi,Kagawa Teruyuki ,Kitaoji Kinya","Thriller,Business,Drama "," Bank,Adapted From A Novel,Betrayal,Office Worker,Corruption,Revenge,Friendship,Suspense,Workplace Abuse,Workplace  ","An idealistic banker takes on corruption and wrongdoing at his large corporate bank. While forging ties with some unlikely allies, he must use his financial expertise, his instincts about human nature, and his skills of improvisation to try to stay one step ahead of his powerful enemies.",https://i.mydramalist.com/E50zmc.jpg?v=1,6548.0,512.0
